pingType	sbi
rbi_min	NA
rbi_max	NA
sbi_mean	5
sbi_sd	1e-04
dist	NA
rep	1
"V1","V2","V3","V4","V5","ss"
0.783214521936478,0.632239583333333,NA,0.6503125,0.527447916666667,1424.59835522008
5.775,5.6321875,NA,5.6503125,5.52734375,1424.97393416501
10.77515625,10.6321354166667,10.3513020833333,NA,NA,1425.6804185736
15.7750520833333,NA,15.35125,15.65,15.5271875,1425.03048489234
NA,20.6318229166667,20.3513541666667,20.6497916666667,20.5271354166667,1425.36915506041
25.7747395833333,25.6317708333333,25.3510416666667,NA,NA,1425.49594031264
30.7749479166667,30.6318229166667,NA,30.6495833333333,30.5270833333333,1425.44603248104
NA,35.631875,35.3508854166667,NA,35.5269791666667,1424.958482016
40.77484375,40.63171875,40.35078125,40.6495833333333,40.526875,1425.29494884078
45.7750520833333,45.631875,NA,45.64953125,45.526875,1424.49642164263
50.774375,50.6315104166667,50.3501041666667,50.6491145833333,NA,1424.47999971267
55.77421875,55.6313020833333,NA,55.64890625,55.5259895833333,1424.21008622402
60.7738541666667,60.6309895833333,60.3494791666667,60.6483854166667,NA,1424.38539476336
65.7735416666667,65.63078125,65.3489583333333,NA,65.5253645833333,1423.96273463005
70.7729166666667,70.6300520833333,70.3486979166667,70.64765625,70.5251041666667,1424.46069438013
75.7727083333333,NA,NA,75.6468229166667,75.5244791666667,1424.64965659274
NA,NA,NA,80.64671875,80.5242708333333,1424.63124243351
85.7721354166667,85.6291666666667,NA,85.6692443664309,85.5243229166667,1424.33524314211
NA,90.629375,NA,NA,NA,1424.12236238475
NA,95.6290625,95.3469270833333,NA,95.5233333333333,1423.98666324224
100.77140625,NA,NA,100.596954525692,100.523177083333,1424.08884022945
105.7703125,105.6278125,105.34625,105.644947916667,105.52265625,1425.0301453496
110.770104166667,110.627447916667,110.345625,110.644427083333,110.5221875,1424.71471097641
NA,115.62703125,NA,NA,115.521770833333,1425.4449875391
120.769166666667,120.6265625,120.344739583333,NA,120.521614583333,1425.61439532629
NA,NA,NA,NA,NA,1425.17274423752
NA,130.62640625,130.343645833333,NA,130.520989583333,1425.31446567805
135.76859375,135.62609375,135.34390625,135.642916666667,NA,1425.55060372377
NA,140.625885416667,140.343541666667,140.64265625,140.520520833333,1425.03942176849
145.768072916667,145.625572916667,NA,NA,NA,1425.051954632
